Name,Register Number,Department,Year of Study
Ishaan Kumar,714023106003,ECE,3
Sarah Patel,714023106004,ECE,3
Vihaan Chopra,714023106005,ECE,3
Aadhya Kumar,714023106006,ECE,3
Sarah Patel,714023106007,ECE,3
Aditya Yadav,714023106008,ECE,3
Aditya Yadav,714023106009,ECE,3
Vivaan Rao,714023106010,ECE,3
Pari Verma,714023106011,ECE,3
Aditya Malhotra,714023106012,ECE,3
Vihaan Patel,714023106013,ECE,3
Sai Verma,714023106014,ECE,3
Vihaan Chopra,714023106015,ECE,3
Aditya Gupta,714023106016,ECE,3
Aadhya Chopra,714023106017,ECE,3
Ayaan Patel,714023106018,ECE,3
Aadhya Rao,714023106019,ECE,3
Ayaan Malhotra,714023106020,ECE,3
Reyansh Rao,714023106021,ECE,3
Vivaan Nair,714023106022,ECE,3
Aarav Malhotra,714023106023,ECE,3
Saanvi Rao,714023106024,ECE,3
Aditya Singh,714023106025,ECE,3
Diya Yadav,714023106026,ECE,3
Ananya Rao,714023106027,ECE,3
Saanvi Kapoor,714023106028,ECE,3
Aarav Malhotra,714023106029,ECE,3
Pari Mehta,714023106030,ECE,3
Vihaan Joshi,714023106031,ECE,3
Krishna Bhat,714023106032,ECE,3
Sarah Reddy,714023106033,ECE,3
Saanvi Bhat,714023106034,ECE,3
Krishna Das,714023106035,ECE,3
Aditya Desai,714023106036,ECE,3
Vihaan Nair,714023106037,ECE,3
Saanvi Rao,714023106038,ECE,3
Aadhya Kumar,714023106039,ECE,3
Sai Mehta,714023106040,ECE,3
Anvi Reddy,714023106041,ECE,3
Ishaan Rao,714023106042,ECE,3
Riya Rao,714023106043,ECE,3
Reyansh Das,714023106044,ECE,3
Saanvi Desai,714023106045,ECE,3
Sarah Reddy,714023106046,ECE,3
Vivaan Kumar,714023106047,ECE,3
Krishna Bhat,714023106048,ECE,3
Saanvi Kumar,714023106049,ECE,3
Sai Sharma,714023106050,ECE,3
Saanvi Verma,714023106051,ECE,3
Ananya Kapoor,714023106052,ECE,3
Reyansh Kapoor,714023106053,ECE,3
Ayaan Mehta,714023106054,ECE,3
Reyansh Rao,714023106055,ECE,3
Aditya Chopra,714023106056,ECE,3
Myra Malhotra,714023106057,ECE,3
Arjun Saxena,714023106058,ECE,3
Vihaan Joshi,714023106059,ECE,3
Krishna Kapoor,714023106060,ECE,3
Vivaan Jain,714023106061,ECE,3
Myra Malhotra,714023106062,ECE,3
Arjun Yadav,714023106063,ECE,3
Aditya Kumar,714023106064,ECE,3
Ananya Singh,714023106065,ECE,3
Ananya Das,714023106066,ECE,3
Aarav Joshi,714023106067,ECE,3
Sai Gupta,714023106068,ECE,3
Sai Yadav,714023106069,ECE,3
Ayaan Sharma,714023106070,ECE,3
Aadhya Kapoor,714023106071,ECE,3
Saanvi Kumar,714023106072,ECE,3
Saanvi Nair,714023106073,ECE,3
Aarav Kapoor,714023106074,ECE,3
Aditya Kapoor,714023106075,ECE,3
Ananya Joshi,714023106076,ECE,3
Ayaan Reddy,714023106077,ECE,3
Saanvi Kapoor,714023106078,ECE,3
Vihaan Bhat,714023106079,ECE,3
Ananya Singh,714023106080,ECE,3
Sarah Reddy,714023106081,ECE,3
Vihaan Rao,714023106082,ECE,3
Diya Patel,714023106083,ECE,3
Sai Chopra,714023106084,ECE,3
Riya Malhotra,714023106085,ECE,3
Saanvi Desai,714023106086,ECE,3
Aditya Kumar,714023106087,ECE,3
Vivaan Joshi,714023106088,ECE,3
Aadhya Saxena,714023106089,ECE,3
Saanvi Gupta,714023106090,ECE,3
Myra Verma,714023106091,ECE,3
Krishna Nair,714023106092,ECE,3
Riya Patel,714023106093,ECE,3
Saanvi Nair,714023106094,ECE,3
Vihaan Joshi,714023106095,ECE,3
Vihaan Sharma,714023106096,ECE,3
Aadhya Bhat,714023106097,ECE,3
Vihaan Sharma,714023106098,ECE,3
Reyansh Das,714023106099,ECE,3
Diya Rao,714023106100,ECE,3
Diya Malhotra,714023106101,ECE,3
Saanvi Chopra,714023106102,ECE,3
Pari Nair,714023106103,ECE,3
Aadhya Gupta,714023106104,ECE,3
Krishna Desai,714023106105,ECE,3
Vivaan Verma,714023106106,ECE,3
Saanvi Saxena,714023106107,ECE,3
Vivaan Malhotra,714023106108,ECE,3
Reyansh Singh,714023106109,ECE,3
Diya Kapoor,714023106110,ECE,3
Krishna Malhotra,714023106111,ECE,3
Ishaan Sharma,714023106112,ECE,3
Aadhya Yadav,714023106113,ECE,3
Ananya Kapoor,714023106114,ECE,3
Saanvi Gupta,714023106115,ECE,3
Aadhya Desai,714023106116,ECE,3
Ishaan Reddy,714023106117,ECE,3
Arjun Rao,714023106118,ECE,3
Vihaan Singh,714023106119,ECE,3
Diya Gupta,714023106120,ECE,3
Sarah Desai,714023106121,ECE,3
Saanvi Singh,714023106122,ECE,3
Ananya Chopra,714023106123,ECE,3
Vivaan Mehta,714023106124,ECE,3
Myra Das,714023106125,ECE,3
Myra Nair,714023106126,ECE,3
Riya Singh,714023106127,ECE,3
Aadhya Saxena,714023106128,ECE,3
Anvi Sharma,714023114001,MECH,3
Ishaan Patel,714023114002,MECH,3
Sai Verma,714023114003,MECH,3
Anvi Das,714023114004,MECH,3
Vivaan Saxena,714023114005,MECH,3
Krishna Sharma,714023114006,MECH,3
Sai Yadav,714023114007,MECH,3
Ananya Joshi,714023114008,MECH,3
Myra Bhat,714023114009,MECH,3
Anvi Gupta,714023114010,MECH,3
Aarav Desai,714023114011,MECH,3
Saanvi Rao,714023114012,MECH,3
Arjun Jain,714023114013,MECH,3
Sarah Joshi,714023114014,MECH,3
Ishaan Jain,714023114015,MECH,3
Riya Chopra,714023114016,MECH,3
Diya Malhotra,714023114017,MECH,3
Ananya Patel,714023114018,MECH,3
Saanvi Desai,714023114019,MECH,3
Diya Yadav,714023114020,MECH,3
Anvi Bhat,714023114021,MECH,3
Krishna Malhotra,714023114022,MECH,3
Arjun Bhat,714023114023,MECH,3
Riya Desai,714023114024,MECH,3
Aditya Desai,714023114025,MECH,3
Saanvi Nair,714023114026,MECH,3
Reyansh Nair,714023114027,MECH,3
Saanvi Desai,714023114028,MECH,3
Ayaan Kapoor,714023114029,MECH,3
Saanvi Bhat,714023114030,MECH,3
Myra Gupta,714023114031,MECH,3
Ananya Jain,714023114032,MECH,3
Aditya Reddy,714023114033,MECH,3
Reyansh Sharma,714023114034,MECH,3
Ananya Mehta,714023114035,MECH,3
Aditya Das,714023114036,MECH,3
Saanvi Jain,714023114037,MECH,3
Ishaan Verma,714023114038,MECH,3
Saanvi Kapoor,714023114039,MECH,3
Sarah Chopra,714023114040,MECH,3
Saanvi Verma,714023114041,MECH,3
Ananya Yadav,714023114042,MECH,3
Ishaan Patel,714023114043,MECH,3
Saanvi Desai,714023114044,MECH,3
Ayaan Nair,714023114045,MECH,3
Saanvi Desai,714023114046,MECH,3
Ishaan Mehta,714023114047,MECH,3
Myra Rao,714023114048,MECH,3
Vivaan Nair,714023114049,MECH,3
Diya Verma,714023114050,MECH,3
Krishna Verma,714023114051,MECH,3
Aditya Joshi,714023114052,MECH,3
Pari Saxena,714023114053,MECH,3
Diya Sharma,714023114054,MECH,3
Aditya Jain,714023114055,MECH,3
Arjun Bhat,714023114056,MECH,3
Sai Verma,714023114057,MECH,3
Riya Das,714023114058,MECH,3
Saanvi Malhotra,714023114059,MECH,3
Vivaan Patel,714023114060,MECH,3
Reyansh Desai,714023114061,MECH,3
Sai Kapoor,714023114062,MECH,3
Krishna Verma,714023114063,MECH,3
Vihaan Gupta,714023114064,MECH,3
Ayaan Kumar,714023114065,MECH,3
Ishaan Saxena,714023114066,MECH,3
Aarav Gupta,714023114067,MECH,3
Aditya Patel,714023114068,MECH,3
Sarah Desai,714023114069,MECH,3
Ananya Verma,714023114070,MECH,3
Ayaan Saxena,714023114071,MECH,3
Krishna Bhat,714023114072,MECH,3
Saanvi Kumar,714023114073,MECH,3
Diya Yadav,714023114074,MECH,3
Ananya Yadav,714023114075,MECH,3
Aarav Kapoor,714023114076,MECH,3
Saanvi Gupta,714023114077,MECH,3
Ananya Jain,714023114078,MECH,3
Aarav Singh,714023114079,MECH,3
Saanvi Sharma,714023114080,MECH,3
Saanvi Bhat,714023114081,MECH,3
Aarav Jain,714023114082,MECH,3
Vihaan Yadav,714023114083,MECH,3
Vivaan Mehta,714023114084,MECH,3
Saanvi Saxena,714023114085,MECH,3
Riya Rao,714023114086,MECH,3
Reyansh Nair,714023114087,MECH,3
Vivaan Verma,714023114088,MECH,3
Saanvi Malhotra,714023114089,MECH,3
Aarav Malhotra,714023114090,MECH,3
Saanvi Desai,714023114091,MECH,3
Aadhya Kapoor,714023114092,MECH,3
Ananya Jain,714023114093,MECH,3
Aditya Bhat,714023114094,MECH,3
Saanvi Reddy,714023114095,MECH,3
Arjun Bhat,714023114096,MECH,3
Reyansh Patel,714023114097,MECH,3
Sarah Mehta,714023114098,MECH,3
Pari Saxena,714023114099,MECH,3
Pari Yadav,714023114100,MECH,3
Ananya Joshi,714023114101,MECH,3
Aarav Reddy,714023114102,MECH,3
Arjun Das,714023114103,MECH,3
Anvi Reddy,714023114104,MECH,3
Krishna Jain,714023103001,CIVIL,3
Aarav Bhat,714023103002,CIVIL,3
Ayaan Chopra,714023103003,CIVIL,3
Ananya Patel,714023103004,CIVIL,3
Anvi Joshi,714023103005,CIVIL,3
Vihaan Bhat,714023103006,CIVIL,3
Myra Gupta,714023103007,CIVIL,3
Ishaan Mehta,714023103008,CIVIL,3
Saanvi Yadav,714023103009,CIVIL,3
Saanvi Kumar,714023103010,CIVIL,3
Diya Chopra,714023103011,CIVIL,3
Ayaan Joshi,714023103012,CIVIL,3
Saanvi Kapoor,714023103013,CIVIL,3
Diya Gupta,714023103014,CIVIL,3
Pari Verma,714023103015,CIVIL,3
Krishna Nair,714023103016,CIVIL,3
Ishaan Das,714023103017,CIVIL,3
Reyansh Desai,714023103018,CIVIL,3
Myra Kapoor,714023103019,CIVIL,3
Aadhya Rao,714023103020,CIVIL,3
Saanvi Joshi,714023103021,CIVIL,3
Diya Das,714023103022,CIVIL,3
Anvi Yadav,714023103023,CIVIL,3
Sai Patel,714023103024,CIVIL,3
Krishna Patel,714023103025,CIVIL,3
Saanvi Verma,714023103026,CIVIL,3
Arjun Nair,714023103027,CIVIL,3
Reyansh Bhat,714023103028,CIVIL,3
Arjun Reddy,714023103029,CIVIL,3
Arjun Saxena,714023103030,CIVIL,3
Pari Gupta,714023103031,CIVIL,3
Saanvi Rao,714023103032,CIVIL,3
Myra Sharma,714023103033,CIVIL,3
Saanvi Sharma,714023103034,CIVIL,3
Anvi Chopra,714023103035,CIVIL,3
Vivaan Yadav,714023103036,CIVIL,3
Riya Singh,714023103037,CIVIL,3
Aadhya Bhat,714023103038,CIVIL,3
Sarah Rao,714023103039,CIVIL,3
Ayaan Verma,714023103040,CIVIL,3
Vihaan Malhotra,714023103041,CIVIL,3
Vivaan Bhat,714023103042,CIVIL,3
Aadhya Kumar,714023103043,CIVIL,3
Ananya Kapoor,714023103044,CIVIL,3
Vivaan Gupta,714023103045,CIVIL,3
Vihaan Chopra,714023103046,CIVIL,3
Vivaan Rao,714023103047,CIVIL,3
Sarah Sharma,714023103048,CIVIL,3
Anvi Verma,714023103049,CIVIL,3
Saanvi Chopra,714023103050,CIVIL,3
Anvi Rao,714023103051,CIVIL,3
Aditya Rao,714023103052,CIVIL,3
Saanvi Kumar,714023103053,CIVIL,3
Ishaan Verma,714023103054,CIVIL,3
Aarav Desai,714023103055,CIVIL,3
Saanvi Patel,714023103056,CIVIL,3
Aditya Gupta,714023103057,CIVIL,3
Riya Gupta,714023103058,CIVIL,3
Myra Gupta,714023103059,CIVIL,3
Aditya Singh,714023103060,CIVIL,3
Diya Singh,714023103061,CIVIL,3
Aarav Joshi,714023103062,CIVIL,3
Riya Malhotra,714023103063,CIVIL,3
Ishaan Das,714023103064,CIVIL,3
Ananya Kumar,714023103065,CIVIL,3
Aadhya Das,714023103066,CIVIL,3
Riya Nair,714023103067,CIVIL,3
Pari Sharma,714023103068,CIVIL,3
Anvi Saxena,714023103069,CIVIL,3
Myra Singh,714023103070,CIVIL,3
Krishna Kumar,714023103071,CIVIL,3
Ayaan Bhat,714023103072,CIVIL,3
Vihaan Joshi,714023103073,CIVIL,3
Anvi Patel,714023103074,CIVIL,3
Aadhya Chopra,714023103075,CIVIL,3
Aditya Gupta,714023103076,CIVIL,3
Sarah Bhat,714023103077,CIVIL,3
Ishaan Gupta,714023103078,CIVIL,3
Myra Bhat,714023103079,CIVIL,3
Sarah Chopra,714023103080,CIVIL,3
Myra Das,714023103081,CIVIL,3
Pari Singh,714023103082,CIVIL,3
Ayaan Reddy,714023103083,CIVIL,3
Myra Bhat,714023103084,CIVIL,3
Pari Patel,714023103085,CIVIL,3
Aadhya Desai,714023103086,CIVIL,3
Vihaan Verma,714023103087,CIVIL,3
Diya Jain,714023103088,CIVIL,3
Pari Reddy,714023103089,CIVIL,3
Aditya Saxena,714023103090,CIVIL,3
Aadhya Patel,714023103091,CIVIL,3
Krishna Nair,714023103092,CIVIL,3
Sarah Mehta,714023103093,CIVIL,3
Ishaan Nair,714023103094,CIVIL,3
Diya Jain,714023103095,CIVIL,3
Diya Kapoor,714023103096,CIVIL,3
Saanvi Gupta,714023103097,CIVIL,3
Krishna Reddy,714023103098,CIVIL,3
Myra Bhat,714023103099,CIVIL,3
Arjun Kapoor,714023103100,CIVIL,3
Diya Patel,714023103101,CIVIL,3
Anvi Saxena,714023103102,CIVIL,3
Sai Yadav,714023103103,CIVIL,3
Aditya Das,714023103104,CIVIL,3
Diya Patel,714023103105,CIVIL,3
Reyansh Bhat,714023103106,CIVIL,3
Ayaan Bhat,714023103107,CIVIL,3
Reyansh Kumar,714023103108,CIVIL,3
Diya Joshi,714023103109,CIVIL,3
Vihaan Gupta,714023103110,CIVIL,3
Aarav Kumar,714023103111,CIVIL,3
Anvi Reddy,714023103112,CIVIL,3
Vihaan Desai,714023103113,CIVIL,3
Vihaan Bhat,714023103114,CIVIL,3
Ananya Singh,714023103115,CIVIL,3
Diya Chopra,714023103116,CIVIL,3
Sarah Reddy,714023103117,CIVIL,3
Sai Reddy,714023103118,CIVIL,3
Reyansh Chopra,714023103119,CIVIL,3
Riya Patel,714023103120,CIVIL,3
Pari Kapoor,714023103121,CIVIL,3
Myra Yadav,714023103122,CIVIL,3
Krishna Verma,714023103123,CIVIL,3
Ishaan Bhat,714023103124,CIVIL,3
Myra Patel,714023103125,CIVIL,3
Krishna Saxena,714023103126,CIVIL,3
Sarah Reddy,714023103127,CIVIL,3
Aadhya Reddy,714023103128,CIVIL,3
Riya Chopra,714023103129,CIVIL,3
Riya Jain,714023103130,CIVIL,3
Diya Verma,714023103131,CIVIL,3
Anvi Sharma,714023105001,EEE,3
Ananya Verma,714023105002,EEE,3
Ananya Yadav,714023105003,EEE,3
Reyansh Patel,714023105004,EEE,3
Aarav Yadav,714023105005,EEE,3
Saanvi Singh,714023105006,EEE,3
Aditya Desai,714023105007,EEE,3
Myra Desai,714023105008,EEE,3
Sarah Sharma,714023105009,EEE,3
Saanvi Joshi,714023105010,EEE,3
Anvi Bhat,714023105011,EEE,3
Pari Reddy,714023105012,EEE,3
Ishaan Kapoor,714023105013,EEE,3
Riya Singh,714023105014,EEE,3
Sai Nair,714023105015,EEE,3
Anvi Nair,714023105016,EEE,3
Krishna Reddy,714023105017,EEE,3
Diya Mehta,714023105018,EEE,3
Saanvi Yadav,714023105019,EEE,3
Saanvi Rao,714023105020,EEE,3
Reyansh Verma,714023105021,EEE,3
Sai Rao,714023105022,EEE,3
Anvi Joshi,714023105023,EEE,3
Ayaan Mehta,714023105024,EEE,3
Ayaan Patel,714023105025,EEE,3
Anvi Kumar,714023105026,EEE,3
Vihaan Malhotra,714023105027,EEE,3
Reyansh Bhat,714023105028,EEE,3
Pari Saxena,714023105029,EEE,3
Diya Nair,714023105030,EEE,3
Ayaan Yadav,714023105031,EEE,3
Arjun Chopra,714023105032,EEE,3
Saanvi Patel,714023105033,EEE,3
Myra Nair,714023105034,EEE,3
Aarav Reddy,714023105035,EEE,3
Myra Nair,714023105036,EEE,3
Myra Reddy,714023105037,EEE,3
Saanvi Chopra,714023105038,EEE,3
Myra Yadav,714023105039,EEE,3
Vivaan Saxena,714023105040,EEE,3
Vihaan Sharma,714023105041,EEE,3
Ishaan Jain,714023105042,EEE,3
Anvi Jain,714023105043,EEE,3
Riya Reddy,714023105044,EEE,3
Ishaan Desai,714023105045,EEE,3
Sarah Yadav,714023105046,EEE,3
Aarav Singh,714023105047,EEE,3
Riya Kapoor,714023105048,EEE,3
Riya Patel,714023105049,EEE,3
Saanvi Reddy,714023105050,EEE,3
Riya Singh,714023105051,EEE,3
Aadhya Reddy,714023105052,EEE,3
Aarav Kumar,714023105053,EEE,3
Sai Verma,714023105054,EEE,3
Reyansh Saxena,714023105055,EEE,3
Aarav Saxena,714023105056,EEE,3
Ayaan Gupta,714023105057,EEE,3
Reyansh Chopra,714023105058,EEE,3
Pari Kapoor,714023105059,EEE,3
Diya Joshi,714023105060,EEE,3
Sai Kumar,714023105061,EEE,3
Pari Patel,714023105062,EEE,3
Aditya Malhotra,714023105063,EEE,3
Riya Sharma,714023105064,EEE,3
Vivaan Desai,714023105065,EEE,3
Vivaan Mehta,714023105066,EEE,3
Diya Gupta,714023105067,EEE,3
Myra Kumar,714023105068,EEE,3
Saanvi Reddy,714023105069,EEE,3
Ayaan Singh,714023105070,EEE,3
Aarav Rao,714023105071,EEE,3
Saanvi Singh,714023105072,EEE,3
Saanvi Das,714023105073,EEE,3
Riya Singh,714023105074,EEE,3
Reyansh Yadav,714023105075,EEE,3
Ishaan Saxena,714023105076,EEE,3
Krishna Reddy,714023105077,EEE,3
Diya Patel,714023105078,EEE,3
Arjun Gupta,714023105079,EEE,3
Sarah Desai,714023105080,EEE,3
Sarah Jain,714023105081,EEE,3
Saanvi Saxena,714023105082,EEE,3
Krishna Joshi,714023105083,EEE,3
Anvi Bhat,714023105084,EEE,3
Anvi Das,714023105085,EEE,3
Krishna Nair,714023105086,EEE,3
Riya Patel,714023105087,EEE,3
Aditya Kapoor,714023105088,EEE,3
Krishna Jain,714023105089,EEE,3
Riya Gupta,714023105090,EEE,3
Ayaan Sharma,714023105091,EEE,3
Ishaan Das,714023105092,EEE,3
Sarah Patel,714023105093,EEE,3
Sai Rao,714023105094,EEE,3
Sarah Singh,714023105095,EEE,3
Vivaan Jain,714023105096,EEE,3
Sai Chopra,714023105097,EEE,3
Arjun Bhat,714023105098,EEE,3
Aadhya Patel,714023105099,EEE,3
Diya Kumar,714023105100,EEE,3
Myra Jain,714023105101,EEE,3
Myra Joshi,714023105102,EEE,3
Aarav Malhotra,714023105103,EEE,3
Aarav Patel,714023105104,EEE,3
Reyansh Verma,714023105105,EEE,3
Saanvi Kapoor,714023105106,EEE,3
Ayaan Joshi,714023105107,EEE,3
